sensor_id,temperature,humidity,soil_moisture,energy_used,data_processed,timestamp
sensor_3,27.05,79.23,41.22,0.014,0.38,1759759827.3949392
sensor_8,28.46,32.29,17.06,0.031,0.29,1759759829.3952637
sensor_1,35.4,37.13,35.09,0.024,0.25,1759759831.3955553
sensor_6,29.85,49.31,58.51,0.04,0.31,1759759833.3960826
sensor_1,30.08,45.25,12.12,0.045,0.19,1759759835.396788
sensor_8,35.03,63.71,37.35,0.013,0.11,1759759837.3974478
sensor_6,23.49,50.16,13.02,0.019,0.3,1759759839.3981714
sensor_1,28.02,58.34,36.77,0.012,0.36,1759759841.3988254
sensor_8,34.26,31.59,41.32,0.029,0.38,1759759843.3997202
sensor_3,22.23,76.31,35.5,0.018,0.45,1759759845.4007504
sensor_8,33.86,33.45,52.5,0.038,0.11,1759759847.4021602
sensor_4,24.76,65.74,51.84,0.031,0.35,1759759849.402595
sensor_7,32.25,41.42,43.91,0.038,0.2,1759759851.4032624
sensor_3,35.7,66.4,55.42,0.012,0.35,1759759853.403886
sensor_2,30.36,31.95,36.6,0.03,0.12,1759759855.404499
sensor_9,31.56,31.64,12.61,0.017,0.31,1759759857.4053535
sensor_8,35.99,33.88,57.44,0.026,0.25,1759759859.4057257
sensor_6,29.45,31.83,27.47,0.05,0.34,1759759861.4061604
sensor_7,31.26,31.8,43.93,0.02,0.2,1759759863.4067411
sensor_4,23.81,79.43,58.1,0.013,0.21,1759759865.4076107
sensor_7,32.6,73.95,37.93,0.027,0.28,1759759867.408403
sensor_8,24.76,44.46,22.23,0.04,0.31,1759759869.4092777
sensor_5,28.41,63.78,44.77,0.031,0.15,1759759871.4099722
sensor_2,34.11,75.77,37.35,0.049,0.45,1759759873.4108663
sensor_1,30.84,68.78,33.18,0.035,0.41,1759759875.4115694
sensor_6,25.74,66.93,46.92,0.05,0.42,1759759877.412075
sensor_5,29.19,76.85,24.15,0.031,0.4,1759759879.412507
sensor_4,31.34,59.92,11.88,0.026,0.22,1759759881.4131987
sensor_1,22.35,37.23,26.56,0.021,0.19,1759759883.414072
sensor_1,31.72,49.8,53.54,0.017,0.44,1759759885.4146554
sensor_1,31.76,52.47,13.05,0.017,0.39,1759759887.4155364
sensor_5,28.14,61.25,10.5,0.025,0.43,1759759889.4161808
sensor_1,34.99,42.0,56.95,0.033,0.32,1759759891.4167397
sensor_2,25.6,40.86,26.15,0.019,0.23,1759759893.4169877
sensor_2,31.19,71.36,16.69,0.035,0.17,1759759895.4173582
sensor_3,23.26,71.19,12.0,0.045,0.25,1759759897.4182456
sensor_1,22.0,33.09,56.73,0.027,0.29,1759759899.4188404
sensor_5,24.7,39.22,47.21,0.03,0.24,1759759901.4194574
sensor_10,31.12,60.9,40.88,0.021,0.36,1759759903.4198098
sensor_3,27.66,54.33,21.37,0.015,0.29,1759759905.420494
sensor_3,26.43,46.53,18.88,0.023,0.19,1759759907.4218104
sensor_7,31.88,58.64,49.36,0.047,0.28,1759759909.423887
sensor_8,25.22,41.11,52.83,0.014,0.29,1759759911.4243033
sensor_7,34.64,30.61,47.83,0.015,0.38,1759759913.4248548
sensor_6,31.86,74.78,22.8,0.042,0.3,1759759915.425171
sensor_10,22.61,65.36,41.09,0.03,0.33,1759759917.4256642
sensor_5,35.32,70.08,59.36,0.018,0.42,1759759919.4259176
sensor_7,32.25,59.27,45.85,0.041,0.28,1759759921.426389
sensor_5,26.15,48.18,17.65,0.048,0.27,1759759923.4280293
sensor_2,22.39,58.55,18.77,0.039,0.26,1759759925.4283888
sensor_1,34.32,62.74,54.42,0.049,0.42,1759759927.4290872
sensor_6,35.87,63.3,59.96,0.031,0.48,1759759929.429476
sensor_5,31.13,61.11,17.9,0.03,0.33,1759759931.4308367
sensor_5,27.13,73.69,42.66,0.011,0.17,1759759933.431405
sensor_5,27.93,50.82,43.52,0.033,0.49,1759759935.4322236
sensor_1,25.9,79.39,25.72,0.048,0.3,1759759937.432828
sensor_6,32.33,75.7,32.99,0.026,0.12,1759759939.433412
sensor_4,32.75,56.11,13.3,0.012,0.14,1759759941.434329
sensor_5,35.54,72.96,36.32,0.021,0.38,1759759943.4350326
sensor_8,32.51,56.71,31.33,0.035,0.13,1759759945.4357808
sensor_1,23.43,34.04,59.91,0.013,0.16,1759759947.4361298
sensor_4,22.4,53.78,28.99,0.01,0.34,1759759949.4364707
sensor_6,33.8,56.3,53.37,0.017,0.19,1759759951.4371562
sensor_2,23.36,46.45,43.34,0.038,0.42,1759759953.437794
sensor_1,23.67,74.31,46.75,0.018,0.15,1759759955.4386392
sensor_6,24.99,53.53,28.9,0.018,0.26,1759759957.4393075
sensor_9,22.06,59.55,31.86,0.045,0.41,1759759959.4399025
sensor_3,23.08,31.52,41.44,0.027,0.26,1759759961.4405787
sensor_7,22.1,79.57,50.21,0.032,0.4,1759759963.44134
sensor_10,34.26,78.49,12.95,0.039,0.48,1759759965.4417152
sensor_10,28.92,43.44,37.11,0.03,0.11,1759759967.4424975
sensor_9,33.92,30.71,25.1,0.012,0.15,1759759969.4430845
sensor_7,23.82,69.05,42.77,0.018,0.1,1759759971.443688
sensor_9,24.66,60.99,29.54,0.045,0.46,1759759973.4441972
sensor_6,34.31,54.11,49.05,0.014,0.43,1759759975.4448023
sensor_8,32.29,40.98,29.16,0.034,0.23,1759759977.4454944
sensor_7,24.55,31.31,52.96,0.022,0.33,1759759979.44619
sensor_6,28.23,54.55,22.94,0.045,0.1,1759759981.4468038
sensor_10,23.08,39.98,49.62,0.017,0.29,1759759983.4473634
sensor_2,32.43,65.23,26.41,0.043,0.37,1759759985.4479296
sensor_5,33.2,48.45,48.03,0.034,0.4,1759759987.4482803
sensor_3,23.85,79.84,31.66,0.027,0.12,1759759989.4486198
sensor_8,32.83,44.65,46.96,0.048,0.26,1759759991.4491825
sensor_6,31.99,70.65,17.18,0.043,0.15,1759759993.4500825
sensor_8,28.43,69.26,15.68,0.034,0.42,1759759995.4507031
sensor_1,28.95,55.19,12.17,0.049,0.4,1759759997.4513714
sensor_6,23.83,30.13,25.41,0.044,0.28,1759759999.4518807
sensor_5,30.76,48.09,53.0,0.031,0.41,1759760001.4524486
sensor_9,31.89,40.88,24.85,0.024,0.5,1759760003.4530997
sensor_9,33.61,55.87,17.07,0.05,0.39,1759760005.4537175
sensor_6,25.31,78.16,13.56,0.028,0.48,1759760007.454151
sensor_3,31.23,42.18,45.19,0.025,0.21,1759760009.4549148
sensor_8,29.3,77.0,30.08,0.044,0.43,1759760011.4552474
sensor_2,31.55,75.88,57.45,0.03,0.17,1759760013.4559834
sensor_7,34.18,39.25,46.31,0.041,0.31,1759760015.456676
sensor_7,29.88,66.93,37.38,0.045,0.39,1759760017.457502
sensor_1,23.26,67.16,22.73,0.011,0.1,1759760019.4582741
sensor_4,28.84,63.25,32.13,0.032,0.42,1759760021.4589603
sensor_6,25.93,34.64,25.34,0.015,0.15,1759760023.4596262
sensor_6,33.19,30.89,25.73,0.045,0.29,1759760025.460451
sensor_8,25.91,41.94,28.26,0.017,0.46,1759760027.4612389
sensor_3,31.8,54.65,25.08,0.037,0.33,1759760029.4619796
sensor_4,34.45,35.11,53.34,0.048,0.37,1759760031.4625726
sensor_4,24.11,46.11,14.71,0.021,0.19,1759760033.4631436
sensor_9,26.72,60.81,35.0,0.019,0.34,1759760035.4634361
sensor_8,29.68,79.81,50.41,0.012,0.43,1759760037.4639764
sensor_5,23.47,34.7,16.23,0.049,0.46,1759760039.4646106
sensor_7,35.55,72.87,55.85,0.032,0.26,1759760041.4651752
sensor_9,22.02,54.77,54.21,0.018,0.15,1759760043.4656415
sensor_4,23.59,57.58,31.36,0.04,0.28,1759760045.4663036
sensor_5,29.26,39.6,59.33,0.029,0.44,1759760047.467158
sensor_8,32.03,70.15,16.29,0.042,0.36,1759760049.467938
sensor_9,22.69,68.12,50.44,0.029,0.29,1759760051.4684975
sensor_7,33.15,34.57,58.77,0.028,0.5,1759760053.4688532
sensor_2,30.15,48.72,29.9,0.027,0.29,1759760055.4694703
sensor_1,22.64,70.45,55.82,0.03,0.16,1759760057.4700181
sensor_1,34.82,39.41,52.58,0.023,0.44,1759760059.4703698
sensor_7,31.06,62.15,20.27,0.014,0.39,1759760061.47105
sensor_8,33.65,79.72,42.38,0.029,0.23,1759760063.4715288
sensor_1,32.6,40.22,48.28,0.017,0.14,1759760065.4724529
sensor_4,27.46,58.38,39.1,0.046,0.43,1759760067.4731927
sensor_5,32.92,36.03,47.94,0.034,0.37,1759760069.4739013
sensor_3,27.04,37.63,33.83,0.01,0.19,1759760071.4744859
sensor_1,24.02,40.29,39.14,0.03,0.11,1759760073.475097
sensor_9,24.42,79.05,18.3,0.04,0.38,1759760075.475676
sensor_6,35.81,75.55,56.17,0.013,0.11,1759760077.476297
sensor_3,34.7,65.76,41.33,0.026,0.42,1759760079.4770663
sensor_5,30.07,54.62,43.81,0.041,0.42,1759760081.4778814
sensor_3,31.57,61.65,30.37,0.037,0.2,1759760083.4782243
sensor_5,24.98,49.3,25.3,0.036,0.43,1759760085.4790156
sensor_4,32.03,43.05,10.02,0.026,0.5,1759760087.479697
sensor_9,33.07,79.34,42.82,0.043,0.46,1759760089.4801075
sensor_6,30.33,36.68,48.97,0.027,0.11,1759760091.4805968
sensor_1,25.54,66.69,17.65,0.015,0.24,1759760093.481291
sensor_7,29.71,66.27,32.18,0.045,0.45,1759760095.4818516
sensor_5,32.21,57.5,21.33,0.03,0.45,1759760097.4823143
sensor_9,23.93,69.42,41.43,0.026,0.26,1759760099.4830127
sensor_8,24.25,47.14,14.4,0.03,0.34,1759760101.483685
sensor_8,25.96,73.74,49.42,0.027,0.12,1759760103.484533
sensor_7,32.73,65.94,56.73,0.042,0.21,1759760105.4853332
sensor_1,23.74,37.19,34.81,0.025,0.2,1759760107.4861786
sensor_3,24.47,50.54,13.8,0.018,0.2,1759760109.4867883
sensor_7,26.54,59.59,46.28,0.048,0.28,1759760111.4873507
sensor_4,23.5,76.07,11.51,0.02,0.22,1759760113.4877563
sensor_7,31.41,55.77,34.78,0.043,0.45,1759760115.4883833
sensor_2,34.35,61.81,57.49,0.013,0.29,1759760117.4887526
sensor_9,35.9,66.52,59.45,0.013,0.47,1759760119.4892612
sensor_8,34.73,74.16,38.01,0.022,0.39,1759760121.4899044
sensor_7,22.81,49.45,48.25,0.034,0.22,1759760123.4906337
sensor_5,29.11,46.93,57.3,0.03,0.48,1759760125.4913201
sensor_9,24.4,49.76,31.77,0.021,0.38,1759760127.4921684
sensor_2,29.27,64.11,44.42,0.037,0.34,1759760129.492797
sensor_3,35.12,63.74,58.52,0.021,0.13,1759760131.4933603
sensor_4,26.87,64.16,46.82,0.047,0.45,1759760133.4942203
sensor_6,25.7,56.97,37.01,0.032,0.3,1759760135.4949203
sensor_4,23.98,34.81,51.62,0.037,0.18,1759760137.4956925
sensor_6,33.8,43.19,31.36,0.012,0.36,1759760139.496324
sensor_9,27.83,47.25,29.89,0.018,0.48,1759760141.4969554
sensor_4,28.48,39.26,33.22,0.027,0.46,1759760143.4975863
sensor_8,35.53,57.6,43.42,0.031,0.46,1759760145.4983501
sensor_7,25.36,71.2,28.5,0.019,0.14,1759760147.4990745
sensor_7,33.09,53.38,33.49,0.028,0.26,1759760149.499719
sensor_2,35.01,49.39,16.23,0.013,0.3,1759760151.5004866
sensor_5,33.6,69.94,24.61,0.01,0.2,1759760153.501105
sensor_8,25.39,67.4,28.18,0.032,0.49,1759760155.5018167
sensor_3,29.59,70.92,15.69,0.041,0.31,1759760157.5027244
sensor_8,29.31,53.09,56.2,0.02,0.24,1759760159.5031269
sensor_3,32.04,62.34,36.09,0.016,0.31,1759760161.5035422
sensor_5,33.61,46.8,51.46,0.048,0.18,1759760163.5041633
sensor_4,23.88,78.5,25.73,0.012,0.17,1759760165.5048804
sensor_5,32.09,45.17,13.84,0.013,0.41,1759760167.505717
sensor_3,30.0,56.81,35.34,0.036,0.46,1759760169.5064228
sensor_4,28.54,76.85,19.93,0.034,0.2,1759760171.5070686
sensor_10,32.25,51.2,54.74,0.039,0.11,1759760173.5077827
sensor_9,29.55,52.93,36.36,0.049,0.47,1759760175.508405
sensor_2,23.9,49.53,46.3,0.021,0.25,1759760177.509228
sensor_10,26.71,41.95,35.19,0.019,0.44,1759760179.5099719
sensor_8,34.19,66.53,37.4,0.036,0.19,1759760181.5105581
sensor_8,22.74,78.03,22.46,0.024,0.22,1759760183.51106
sensor_4,26.31,56.39,27.46,0.043,0.49,1759760185.5117352
sensor_7,27.86,44.17,40.09,0.017,0.11,1759760187.5124135
sensor_9,28.58,78.45,21.11,0.03,0.38,1759760189.5130565
sensor_2,32.25,61.0,53.37,0.016,0.34,1759760191.5138566
sensor_10,32.58,39.72,52.69,0.017,0.37,1759760193.5146046
sensor_2,25.63,68.65,14.59,0.018,0.44,1759760195.5153167
sensor_9,30.8,52.99,13.3,0.014,0.22,1759760197.5159245
sensor_1,26.86,33.28,35.61,0.043,0.19,1759760199.516537
sensor_6,33.84,63.66,26.82,0.037,0.36,1759760201.5171585
sensor_3,33.66,73.42,43.31,0.029,0.3,1759760203.5179725
sensor_4,28.22,76.58,35.25,0.037,0.23,1759760205.5185397
sensor_8,31.63,64.97,52.72,0.021,0.44,1759760207.518916
sensor_10,35.85,44.54,23.54,0.027,0.42,1759760209.5192335
sensor_10,26.53,63.57,33.92,0.047,0.32,1759760211.5198143
sensor_10,24.28,61.68,49.56,0.026,0.14,1759760213.520236
sensor_9,27.56,51.6,56.6,0.024,0.47,1759760215.5208547
sensor_8,32.42,75.24,51.13,0.025,0.49,1759760217.5215306
sensor_7,28.03,73.89,53.01,0.045,0.48,1759760219.52242
sensor_9,24.81,46.29,23.23,0.011,0.25,1759760221.5235553
sensor_8,32.63,60.37,48.75,0.049,0.34,1759760223.524169
sensor_3,29.06,37.76,51.63,0.05,0.39,1759760225.5245311
sensor_7,32.64,73.98,52.73,0.048,0.26,1759760227.5248728
sensor_10,24.22,38.36,53.57,0.023,0.2,1759760229.5255058
sensor_3,26.51,32.4,25.09,0.041,0.36,1759760231.5261545
sensor_8,25.75,42.92,38.29,0.019,0.29,1759760233.5264459
sensor_6,26.25,44.29,43.04,0.013,0.46,1759760235.5268583
sensor_5,26.07,33.05,20.49,0.019,0.28,1759760237.5272112
sensor_2,30.57,69.22,49.93,0.024,0.42,1759760239.527866
sensor_4,22.75,66.16,39.93,0.034,0.48,1759760241.5282996
sensor_5,34.79,46.97,50.09,0.018,0.2,1759760243.5291204
sensor_2,29.53,70.12,32.57,0.029,0.41,1759760245.5296314
sensor_5,23.97,51.56,13.18,0.04,0.24,1759760247.53006
sensor_6,29.17,45.36,18.56,0.014,0.41,1759760249.5308068
sensor_9,30.54,79.75,14.06,0.034,0.44,1759760251.5316927
sensor_2,34.23,57.54,22.33,0.033,0.12,1759760253.5323782
sensor_2,26.07,65.49,55.69,0.011,0.33,1759760255.5327587
sensor_7,32.3,31.38,57.83,0.017,0.46,1759760257.533332
sensor_9,32.17,36.35,41.13,0.036,0.44,1759760259.5343983
sensor_2,32.0,34.61,47.97,0.022,0.23,1759760261.5353043
sensor_8,28.68,47.25,28.31,0.018,0.16,1759760263.5360656
sensor_10,22.75,54.69,19.91,0.034,0.38,1759760265.5367548
sensor_10,24.44,46.0,31.36,0.024,0.45,1759760267.5374577
sensor_5,29.13,60.3,21.77,0.032,0.14,1759760269.538104
sensor_6,29.15,38.15,48.78,0.047,0.23,1759760271.5390618
sensor_2,30.1,59.3,32.05,0.033,0.44,1759760273.5398293
sensor_1,26.51,67.35,24.93,0.044,0.47,1759760275.5405262
sensor_4,27.36,64.47,51.54,0.014,0.35,1759760277.541236
sensor_8,22.01,30.09,12.58,0.015,0.48,1759760279.5417216
sensor_2,26.8,32.63,53.16,0.015,0.26,1759760281.5426667
sensor_1,31.21,79.91,34.63,0.031,0.49,1759760283.5433524
sensor_2,25.28,36.79,10.33,0.044,0.4,1759760285.544499
sensor_8,29.28,55.84,53.52,0.032,0.25,1759760287.5448513
sensor_2,31.06,31.02,23.99,0.046,0.28,1759760289.5456614
sensor_4,28.25,41.87,40.92,0.022,0.11,1759760291.5465739
sensor_9,27.73,31.29,41.26,0.04,0.25,1759760293.5471025
sensor_2,31.85,57.43,23.53,0.02,0.26,1759760295.5479536
sensor_6,22.48,76.38,59.94,0.032,0.41,1759760297.5484543
sensor_2,25.53,68.71,39.51,0.043,0.36,1759760299.5492787
sensor_1,26.33,60.39,27.34,0.034,0.34,1759760301.5502133
sensor_2,27.47,61.92,40.41,0.03,0.16,1759760303.5509353
sensor_7,35.84,49.23,14.34,0.027,0.47,1759760305.5512354
sensor_9,31.37,74.66,24.06,0.033,0.16,1759760307.5515583
sensor_9,29.18,78.1,58.52,0.035,0.43,1759760309.5521235
sensor_9,26.29,51.91,53.9,0.023,0.44,1759760311.5525656
sensor_3,27.26,58.26,53.66,0.045,0.12,1759760313.5532787
sensor_4,29.29,66.73,51.53,0.043,0.23,1759760315.5542772
sensor_2,34.84,32.0,22.73,0.024,0.15,1759760317.5558333
sensor_2,34.43,72.04,21.17,0.016,0.45,1759760319.5562024
sensor_6,31.98,51.77,17.83,0.045,0.4,1759760321.5565655
sensor_3,30.97,77.28,11.91,0.018,0.46,1759760323.5574489
sensor_6,24.3,36.96,55.59,0.032,0.12,1759760325.5589244
sensor_10,29.28,47.24,55.75,0.011,0.41,1759760327.5597088
sensor_9,31.28,55.1,47.78,0.017,0.26,1759760329.5604987
sensor_8,28.72,57.76,37.42,0.044,0.13,1759760331.561098
sensor_1,28.17,35.69,49.77,0.015,0.27,1759760333.5617514
sensor_6,25.72,30.4,25.45,0.02,0.24,1759760335.5621018
sensor_3,24.52,77.92,48.94,0.012,0.47,1759760337.5626907
sensor_9,24.27,59.12,13.64,0.03,0.41,1759760339.5631328
sensor_7,26.96,32.85,16.94,0.032,0.19,1759760341.5634718
sensor_7,30.85,68.37,44.24,0.011,0.18,1759760343.5641572
sensor_4,22.8,64.57,11.93,0.02,0.3,1759760345.5647678
sensor_7,27.5,77.83,28.94,0.043,0.16,1759760347.5654263
sensor_4,34.72,41.24,22.57,0.029,0.16,1759760349.5660405
sensor_7,28.13,76.28,51.34,0.02,0.26,1759760351.566414
sensor_6,35.62,75.72,17.17,0.014,0.47,1759760353.5671859
sensor_1,24.58,70.38,25.44,0.016,0.14,1759760355.5676122
sensor_7,23.79,35.84,42.0,0.044,0.45,1759760357.5681624
sensor_1,34.19,37.69,11.96,0.041,0.39,1759760359.5691576
sensor_1,29.08,56.25,26.39,0.042,0.31,1759760361.5712693
sensor_10,35.92,49.12,54.99,0.044,0.5,1759760363.5720625
sensor_10,22.24,36.64,36.44,0.027,0.27,1759760365.5723014
sensor_3,34.66,59.3,21.38,0.019,0.27,1759760367.572636
sensor_9,22.9,48.64,25.43,0.022,0.27,1759760369.5732787
sensor_9,27.7,59.92,31.64,0.042,0.39,1759760371.5739298
sensor_9,26.9,66.89,28.97,0.047,0.4,1759760373.5744839
sensor_5,33.02,68.14,11.37,0.037,0.45,1759760375.5750656
sensor_1,33.66,30.54,39.43,0.03,0.34,1759760377.575747
sensor_7,26.29,41.09,12.66,0.035,0.45,1759760379.576313
sensor_2,22.53,78.73,15.87,0.045,0.43,1759760381.576613
sensor_10,26.85,70.23,23.13,0.023,0.49,1759760383.5771632
sensor_6,34.48,38.28,45.56,0.046,0.24,1759760385.578021
sensor_3,27.67,50.4,38.36,0.026,0.44,1759760387.5784707
sensor_7,35.89,62.32,28.65,0.04,0.43,1759760389.5793421
sensor_1,23.2,35.58,12.97,0.015,0.17,1759760391.5797539
sensor_2,35.12,46.42,45.62,0.044,0.25,1759760393.580193
sensor_7,22.26,67.43,30.3,0.037,0.29,1759760395.580465
sensor_1,32.88,55.16,51.53,0.04,0.37,1759760397.5808885
sensor_3,22.25,69.05,39.65,0.01,0.38,1759760399.5814996
sensor_1,25.73,30.47,58.03,0.016,0.34,1759760401.5820317
sensor_3,32.1,61.54,44.15,0.038,0.17,1759760403.582386
sensor_4,23.52,79.08,29.85,0.048,0.29,1759760405.5830207
sensor_4,30.24,53.31,48.61,0.018,0.39,1759760407.5833259
sensor_6,26.32,39.91,56.17,0.05,0.3,1759760409.583715
sensor_9,27.68,73.24,48.35,0.039,0.13,1759760411.5839515
sensor_2,35.31,53.61,37.24,0.035,0.27,1759760413.584292
sensor_2,24.93,53.39,19.48,0.049,0.11,1759760415.5846307
sensor_4,28.64,32.64,49.01,0.046,0.29,1759760417.585132
sensor_6,27.44,74.99,24.79,0.018,0.14,1759760419.5855262
sensor_2,30.9,37.91,19.78,0.043,0.42,1759760421.5861473
sensor_4,33.86,32.41,42.25,0.011,0.49,1759760423.586831
sensor_6,26.04,59.55,55.13,0.03,0.47,1759760425.5870945
sensor_10,34.27,30.67,34.74,0.021,0.44,1759760427.5876672
sensor_3,22.33,66.57,24.48,0.014,0.41,1759760429.5883658
sensor_7,32.41,32.26,15.32,0.023,0.15,1759760431.5887666
sensor_5,23.21,70.64,10.01,0.044,0.18,1759760433.5893588
sensor_10,30.56,47.02,26.56,0.031,0.13,1759760435.5900397
sensor_8,27.26,65.83,50.24,0.049,0.28,1759760437.5904782
sensor_2,27.46,70.32,17.71,0.028,0.32,1759760439.590826
sensor_7,29.39,76.04,35.57,0.024,0.47,1759760441.5911918
sensor_6,31.94,70.03,40.26,0.032,0.39,1759760443.5916133
sensor_8,31.57,76.22,54.81,0.026,0.29,1759760445.5921445
sensor_10,25.81,57.85,42.12,0.029,0.32,1759760447.592443
sensor_4,29.91,75.57,37.19,0.036,0.27,1759760449.59277
sensor_8,27.66,46.12,56.83,0.043,0.38,1759760451.593377
sensor_10,25.27,62.6,49.29,0.027,0.43,1759760453.5937707
sensor_4,24.85,32.49,31.13,0.013,0.4,1759760455.594538
sensor_9,30.35,57.57,20.09,0.024,0.39,1759760457.5948882
sensor_1,27.11,63.11,24.44,0.015,0.12,1759760459.5953429
sensor_7,25.33,32.74,55.63,0.047,0.26,1759760461.5957024
sensor_10,29.52,67.37,49.79,0.026,0.22,1759760463.5962622
sensor_2,23.5,63.25,45.93,0.029,0.14,1759760465.5966437
sensor_2,34.1,55.32,10.66,0.012,0.3,1759760467.5970302
sensor_9,23.76,79.62,19.88,0.018,0.32,1759760469.5976799
sensor_6,35.88,73.96,45.84,0.031,0.25,1759760471.5987682
sensor_6,28.41,37.21,37.71,0.026,0.47,1759760473.5996
sensor_2,31.98,32.88,32.52,0.038,0.42,1759760475.6001382
sensor_7,35.17,54.15,35.74,0.021,0.1,1759760477.6009042
sensor_6,28.95,44.9,14.85,0.032,0.36,1759760479.6016974
sensor_6,25.86,35.64,48.41,0.019,0.41,1759760481.6031854
sensor_2,32.89,51.73,41.77,0.03,0.27,1759760483.60411
sensor_9,31.44,46.81,43.05,0.047,0.32,1759760485.6050348
sensor_5,30.88,73.68,35.33,0.026,0.47,1759760487.6057823
sensor_7,30.93,69.1,36.01,0.022,0.15,1759760489.6060948
sensor_6,23.03,39.66,31.41,0.044,0.33,1759760491.6064396
sensor_6,32.97,57.71,17.77,0.047,0.4,1759760493.6070664
sensor_6,32.34,68.47,39.34,0.03,0.2,1759760495.6076052
sensor_1,25.73,70.89,45.95,0.029,0.43,1759760497.6082113
sensor_5,26.43,55.73,21.5,0.014,0.29,1759760499.6086442
sensor_8,25.34,71.74,49.85,0.025,0.12,1759760501.6094224
sensor_2,31.31,69.94,45.75,0.013,0.23,1759760503.6103137
sensor_5,25.12,44.19,57.43,0.029,0.43,1759760505.610867
sensor_7,22.48,57.68,47.91,0.036,0.48,1759760507.6116414
sensor_3,26.86,32.74,32.67,0.031,0.14,1759760509.6123714
sensor_8,34.27,72.48,23.57,0.018,0.1,1759760511.6127555
sensor_3,35.47,58.33,36.79,0.021,0.12,1759760513.613097
sensor_10,35.12,48.08,45.26,0.03,0.3,1759760515.6136959
sensor_5,33.27,75.53,21.96,0.028,0.48,1759760517.614382
sensor_9,25.61,54.63,15.23,0.046,0.46,1759760519.6147196
sensor_1,24.62,43.19,39.87,0.028,0.49,1759760521.6150498
sensor_2,33.6,58.26,31.01,0.045,0.32,1759760523.6154652
